state,pollster,sponsors,pollster_rating_id,fte_grade,sample_size,methodology,start_date,end_date,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,notes,url,stage,answer,candidate_name,candidate_party,pct
Alaska,Gravis Marketing,,124,C,770,IVR/Online,10/26/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.scribd.com/document/482078454/Alaska-October-28-2020#from_embed,general,Biden,Joseph R. Biden Jr.,DEM,43
Alaska,Gravis Marketing,,124,C,770,IVR/Online,10/26/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.scribd.com/document/482078454/Alaska-October-28-2020#from_embed,general,Trump,Donald Trump,REP,52
,Rasmussen Reports/Pulse Opinion Research,Liberty Nation,277,C+,1500,IVR/Online,10/26/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_oct29,general,Biden,Joseph R. Biden Jr.,DEM,48
,Rasmussen Reports/Pulse Opinion Research,Liberty Nation,277,C+,1500,IVR/Online,10/26/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_oct29,general,Trump,Donald Trump,REP,47
,Morning Consult,,218,B/C,16374,Online,10/26/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,,https://morningconsult.com/2020-presidential-election-tracker/,general,Biden,Joseph R. Biden Jr.,DEM,52
,Morning Consult,,218,B/C,16374,Online,10/26/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,,https://morningconsult.com/2020-presidential-election-tracker/,general,Trump,Donald Trump,REP,43
,AtlasIntel,,546,B/C,1726,Online,10/26/20,10/28/20,FALSE,,,FALSE,FALSE,,https://projects.fivethirtyeight.com/polls/20201029_US_AtlasIntel.pdf,general,Biden,Joseph R. Biden Jr.,DEM,50.9
,AtlasIntel,,546,B/C,1726,Online,10/26/20,10/28/20,FALSE,,,FALSE,FALSE,,https://projects.fivethirtyeight.com/polls/20201029_US_AtlasIntel.pdf,general,Trump,Donald Trump,REP,46.2
,IBD/TIPP,,144,A/B,945,Live Phone/Online,10/24/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-close-4-groups-key-joe-biden-lead-ibd-tipp-presidential-poll/,general,Biden,Joseph R. Biden Jr.,DEM,50
,IBD/TIPP,,144,A/B,945,Live Phone/Online,10/24/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-close-4-groups-key-joe-biden-lead-ibd-tipp-presidential-poll/,general,Trump,Donald Trump,REP,45.3
,IBD/TIPP,,144,A/B,945,Live Phone/Online,10/24/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-close-4-groups-key-joe-biden-lead-ibd-tipp-presidential-poll/,general,Jorgensen,Jo Jorgensen,LIB,1.5
,IBD/TIPP,,144,A/B,945,Live Phone/Online,10/24/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-close-4-groups-key-joe-biden-lead-ibd-tipp-presidential-poll/,general,Hawkins,Howie Hawkins,GRE,0.8
,IBD/TIPP,,144,A/B,945,Live Phone/Online,10/24/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-close-4-groups-key-joe-biden-lead-ibd-tipp-presidential-poll/,general,Biden,Joseph R. Biden Jr.,DEM,50.3
,IBD/TIPP,,144,A/B,945,Live Phone/Online,10/24/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-close-4-groups-key-joe-biden-lead-ibd-tipp-presidential-poll/,general,Trump,Donald Trump,REP,44.8
Florida,Monmouth University,,215,A+,509,Live Phone,10/24/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_fl_102920.pdf/,general,Biden,Joseph R. Biden Jr.,DEM,50
Florida,Monmouth University,,215,A+,509,Live Phone,10/24/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_fl_102920.pdf/,general,Trump,Donald Trump,REP,45
Florida,Monmouth University,,215,A+,509,Live Phone,10/24/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_fl_102920.pdf/,general,Jorgensen,Jo Jorgensen,LIB,1
Florida,Monmouth University,,215,A+,509,Live Phone,10/24/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_fl_102920.pdf/,general,Hawkins,Howie Hawkins,GRE,0
Florida,Monmouth University,,215,A+,509,Live Phone,10/24/20,10/28/20,FALSE,,,FALSE,FALSE,higher turnout model,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_fl_102920.pdf/,general,Biden,Joseph R. Biden Jr.,DEM,51
Florida,Monmouth University,,215,A+,509,Live Phone,10/24/20,10/28/20,FALSE,,,FALSE,FALSE,higher turnout model,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_fl_102920.pdf/,general,Trump,Donald Trump,REP,45
Florida,Monmouth University,,215,A+,509,Live Phone,10/24/20,10/28/20,FALSE,,,FALSE,FALSE,higher turnout model,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_fl_102920.pdf/,general,Jorgensen,Jo Jorgensen,LIB,2
Florida,Monmouth University,,215,A+,509,Live Phone,10/24/20,10/28/20,FALSE,,,FALSE,FALSE,lower turnout model,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_fl_102920.pdf/,general,Biden,Joseph R. Biden Jr.,DEM,50
Florida,Monmouth University,,215,A+,509,Live Phone,10/24/20,10/28/20,FALSE,,,FALSE,FALSE,lower turnout model,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_fl_102920.pdf/,general,Trump,Donald Trump,REP,46
Florida,Monmouth University,,215,A+,509,Live Phone,10/24/20,10/28/20,FALSE,,,FALSE,FALSE,lower turnout model,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_fl_102920.pdf/,general,Jorgensen,Jo Jorgensen,LIB,2
,USC Dornsife/Los Angeles Times,,343,B/C,5184,Online,10/15/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,traditional voting question (RV),https://election.usc.edu/,general,Biden,Joseph R. Biden Jr.,DEM,52.39
,USC Dornsife/Los Angeles Times,,343,B/C,5184,Online,10/15/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,traditional voting question (RV),https://election.usc.edu/,general,Trump,Donald Trump,REP,42.26
,USC Dornsife/Los Angeles Times,,343,B/C,5279,Online,10/15/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,traditional voting question,https://election.usc.edu/,general,Biden,Joseph R. Biden Jr.,DEM,54.19
,USC Dornsife/Los Angeles Times,,343,B/C,5279,Online,10/15/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,traditional voting question,https://election.usc.edu/,general,Trump,Donald Trump,REP,42
,USC Dornsife/Los Angeles Times,,343,B/C,5279,Online,10/15/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,probabilistic voting question,https://election.usc.edu/,general,Biden,Joseph R. Biden Jr.,DEM,53.51
,USC Dornsife/Los Angeles Times,,343,B/C,5279,Online,10/15/20,10/28/20,FALSE,,TRUE,FALSE,FALSE,probabilistic voting question,https://election.usc.edu/,general,Trump,Donald Trump,REP,42.36
North Carolina,Public Policy Polling,Protect Our Care,263,B,937,Live Phone/Text,10/26/20,10/27/20,FALSE,DEM,,FALSE,FALSE,,https://www.protectourcare.org/wp-content/uploads/2020/10/Protect-Our-CarePPP-North-Carolina-Poll.pdf,general,Biden,Joseph R. Biden Jr.,DEM,51
North Carolina,Public Policy Polling,Protect Our Care,263,B,937,Live Phone/Text,10/26/20,10/27/20,FALSE,DEM,,FALSE,FALSE,,https://www.protectourcare.org/wp-content/uploads/2020/10/Protect-Our-CarePPP-North-Carolina-Poll.pdf,general,Trump,Donald Trump,REP,47
Montana,Public Policy Polling,Protect Our Care,263,B,886,Live Phone/Text,10/26/20,10/27/20,FALSE,DEM,,FALSE,FALSE,,https://www.protectourcare.org/wp-content/uploads/2020/10/Health-Care-a-Key-Issue-for-Montana-Voters-Trust-Bullock-Over-Daines-to-Protect-Their-Health-Care.pdf,general,Biden,Joseph R. Biden Jr.,DEM,47
Montana,Public Policy Polling,Protect Our Care,263,B,886,Live Phone/Text,10/26/20,10/27/20,FALSE,DEM,,FALSE,FALSE,,https://www.protectourcare.org/wp-content/uploads/2020/10/Health-Care-a-Key-Issue-for-Montana-Voters-Trust-Bullock-Over-Daines-to-Protect-Their-Health-Care.pdf,general,Trump,Donald Trump,REP,49
North Carolina,Gravis Marketing,,124,C,614,IVR/Online,10/26/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.scribd.com/document/481968988/North-Carolina-October-28-2020-v3,general,Biden,Joseph R. Biden Jr.,DEM,49
North Carolina,Gravis Marketing,,124,C,614,IVR/Online,10/26/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.scribd.com/document/481968988/North-Carolina-October-28-2020-v3,general,Trump,Donald Trump,REP,46
,YouGov,Economist,391,B,1500,Online,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,https://docs.cdn.yougov.com/nzc8dt85gn/econTabReport.pdf,general,Biden,Joseph R. Biden Jr.,DEM,51
,YouGov,Economist,391,B,1500,Online,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,https://docs.cdn.yougov.com/nzc8dt85gn/econTabReport.pdf,general,Trump,Donald Trump,REP,40
,YouGov,Economist,391,B,1365,Online,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,https://docs.cdn.yougov.com/nzc8dt85gn/econTabReport.pdf,general,Biden,Joseph R. Biden Jr.,DEM,54
,YouGov,Economist,391,B,1365,Online,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,https://docs.cdn.yougov.com/nzc8dt85gn/econTabReport.pdf,general,Trump,Donald Trump,REP,43
,Rasmussen Reports/Pulse Opinion Research,Liberty Nation,277,C+,1500,IVR/Online,10/25/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_oct28,general,Biden,Joseph R. Biden Jr.,DEM,47
,Rasmussen Reports/Pulse Opinion Research,Liberty Nation,277,C+,1500,IVR/Online,10/25/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_oct28,general,Trump,Donald Trump,REP,48
,SurveyMonkey,Axios,324,D-,9882,Online,10/25/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.tableau.com/data-insights/us-election-2020/candidate-preference,general,Biden,Joseph R. Biden Jr.,DEM,52
,SurveyMonkey,Axios,324,D-,9882,Online,10/25/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.tableau.com/data-insights/us-election-2020/candidate-preference,general,Trump,Donald Trump,REP,45
,SurveyMonkey,Axios,324,D-,9882,Online,10/25/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.tableau.com/data-insights/us-election-2020/candidate-preference,general,Biden,Joseph R. Biden Jr.,DEM,51
,SurveyMonkey,Axios,324,D-,9882,Online,10/25/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.tableau.com/data-insights/us-election-2020/candidate-preference,general,Trump,Donald Trump,REP,47
Pennsylvania,RMG Research,PoliticalIQ,555,B/C,800,IVR/Online/Text,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,http://politicaliq.com/2020/10/28/post-debate-pennsylvania-biden-51-trump-45/,general,Biden,Joseph R. Biden Jr.,DEM,51
Pennsylvania,RMG Research,PoliticalIQ,555,B/C,800,IVR/Online/Text,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,http://politicaliq.com/2020/10/28/post-debate-pennsylvania-biden-51-trump-45/,general,Trump,Donald Trump,REP,45
Michigan,Mitchell Research & Communications,MIRS News Service,213,C-,759,IVR/Text,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,https://mirsnews.com/images/MIRS-Mitchell_Poll_Press_Release-_Field_Copy_-_Crosstabs_10-28-20.pdf,general,Biden,Joseph R. Biden Jr.,DEM,52.4
Michigan,Mitchell Research & Communications,MIRS News Service,213,C-,759,IVR/Text,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,https://mirsnews.com/images/MIRS-Mitchell_Poll_Press_Release-_Field_Copy_-_Crosstabs_10-28-20.pdf,general,Trump,Donald Trump,REP,42
Michigan,Mitchell Research & Communications,MIRS News Service,213,C-,759,IVR/Text,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,https://mirsnews.com/images/MIRS-Mitchell_Poll_Press_Release-_Field_Copy_-_Crosstabs_10-28-20.pdf,general,Jorgensen,Jo Jorgensen,LIB,3.2
Michigan,Mitchell Research & Communications,MIRS News Service,213,C-,759,IVR/Text,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,https://mirsnews.com/images/MIRS-Mitchell_Poll_Press_Release-_Field_Copy_-_Crosstabs_10-28-20.pdf,general,Hawkins,Howie Hawkins,GRE,0.4
Florida,Marist College,NBC News,183,A+,743,Live Phone,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,http://maristpoll.marist.edu/wp-content/uploads/2020/10/NBC-News_Marist-Poll_FL-Likely-Voters_NOS-and-Tables_202010281159.pdf,general,Biden,Joseph R. Biden Jr.,DEM,51
Florida,Marist College,NBC News,183,A+,743,Live Phone,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,http://maristpoll.marist.edu/wp-content/uploads/2020/10/NBC-News_Marist-Poll_FL-Likely-Voters_NOS-and-Tables_202010281159.pdf,general,Trump,Donald Trump,REP,47
Florida,Marist College,NBC News,183,A+,1001,Live Phone,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.documentcloud.org/documents/7277570-001FL-Annotated.html,general,Biden,Joseph R. Biden Jr.,DEM,51
Florida,Marist College,NBC News,183,A+,1001,Live Phone,10/25/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.documentcloud.org/documents/7277570-001FL-Annotated.html,general,Trump,Donald Trump,REP,46
,Morning Consult,,218,B/C,12000,Online,10/25/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://morningconsult.com/2020-presidential-election-tracker/,general,Biden,Joseph R. Biden Jr.,DEM,52
,Morning Consult,,218,B/C,12000,Online,10/25/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://morningconsult.com/2020-presidential-election-tracker/,general,Trump,Donald Trump,REP,44
,IBD/TIPP,,144,A/B,991,Live Phone/Online,10/23/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-stays-close-ibd-tipp-presidential-poll/,general,Biden,Joseph R. Biden Jr.,DEM,50
,IBD/TIPP,,144,A/B,991,Live Phone/Online,10/23/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-stays-close-ibd-tipp-presidential-poll/,general,Trump,Donald Trump,REP,45.4
,IBD/TIPP,,144,A/B,991,Live Phone/Online,10/23/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-stays-close-ibd-tipp-presidential-poll/,general,Jorgensen,Jo Jorgensen,LIB,1.6
,IBD/TIPP,,144,A/B,991,Live Phone/Online,10/23/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-stays-close-ibd-tipp-presidential-poll/,general,Hawkins,Howie Hawkins,GRE,0.6
,IBD/TIPP,,144,A/B,991,Live Phone/Online,10/23/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-stays-close-ibd-tipp-presidential-poll/,general,Biden,Joseph R. Biden Jr.,DEM,50
,IBD/TIPP,,144,A/B,991,Live Phone/Online,10/23/20,10/27/20,FALSE,,TRUE,FALSE,FALSE,,https://www.investors.com/news/trump-vs-biden-poll-race-stays-close-ibd-tipp-presidential-poll/,general,Trump,Donald Trump,REP,45
Georgia,Monmouth University,,215,A+,504,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ga_102820/,general,Biden,Joseph R. Biden Jr.,DEM,50
Georgia,Monmouth University,,215,A+,504,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ga_102820/,general,Trump,Donald Trump,REP,45
Georgia,Monmouth University,,215,A+,504,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ga_102820/,general,Jorgensen,Jo Jorgensen,LIB,2
Georgia,Monmouth University,,215,A+,504,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,higher turnout model,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ga_102820/,general,Biden,Joseph R. Biden Jr.,DEM,50
Georgia,Monmouth University,,215,A+,504,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,higher turnout model,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ga_102820/,general,Trump,Donald Trump,REP,46
Georgia,Monmouth University,,215,A+,504,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,lower turnout model,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ga_102820/,general,Biden,Joseph R. Biden Jr.,DEM,50
Georgia,Monmouth University,,215,A+,504,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,lower turnout model,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ga_102820/,general,Trump,Donald Trump,REP,48
,Ipsos,Reuters,154,B-,1302,Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/2020_reuters_tracking_-_core_political_general_election_tracker_10_28_2020.pdf,general,Biden,Joseph R. Biden Jr.,DEM,48
,Ipsos,Reuters,154,B-,1302,Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/2020_reuters_tracking_-_core_political_general_election_tracker_10_28_2020.pdf,general,Trump,Donald Trump,REP,36
,Ipsos,Reuters,154,B-,1110,Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/2020_reuters_tracking_-_core_political_general_election_tracker_10_28_2020.pdf,general,Biden,Joseph R. Biden Jr.,DEM,51
,Ipsos,Reuters,154,B-,1110,Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/2020_reuters_tracking_-_core_political_general_election_tracker_10_28_2020.pdf,general,Trump,Donald Trump,REP,39
,Ipsos,Reuters,154,B-,825,Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/2020_reuters_tracking_-_core_political_general_election_tracker_10_28_2020.pdf,general,Biden,Joseph R. Biden Jr.,DEM,52
,Ipsos,Reuters,154,B-,825,Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/2020_reuters_tracking_-_core_political_general_election_tracker_10_28_2020.pdf,general,Trump,Donald Trump,REP,42
,Global Marketing Research Services,Boston Herald | Franklin Pierce University,621,,1006,Live Phone/Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.franklinpierce.edu/institutes/mfcc/10-28-20_Polling-Data/FPU-Herald-Poll-1023-1027-2020-Set-3.pdf,general,Biden,Joseph R. Biden Jr.,DEM,52.5
,Global Marketing Research Services,Boston Herald | Franklin Pierce University,621,,1006,Live Phone/Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.franklinpierce.edu/institutes/mfcc/10-28-20_Polling-Data/FPU-Herald-Poll-1023-1027-2020-Set-3.pdf,general,Trump,Donald Trump,REP,38.5
Minnesota,SurveyUSA,KSTP-TV Minneapolis | KAAL-TV | WDIO-TV Duluth,325,A,649,Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://assets.documentcloud.org/documents/20400328/surveyusa1028.pdf,general,Biden,Joseph R. Biden Jr.,DEM,47
Minnesota,SurveyUSA,KSTP-TV Minneapolis | KAAL-TV | WDIO-TV Duluth,325,A,649,Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://assets.documentcloud.org/documents/20400328/surveyusa1028.pdf,general,Trump,Donald Trump,REP,42
,Suffolk University,USA Today,323,A,1000,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2020/10_29_2020_marginals_pdftxt.pdf?la=en&hash=7BE590FE9C03C3188A29E97C1108D5CB75C70362,general,Biden,Joseph R. Biden Jr.,DEM,49.5
,Suffolk University,USA Today,323,A,1000,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2020/10_29_2020_marginals_pdftxt.pdf?la=en&hash=7BE590FE9C03C3188A29E97C1108D5CB75C70362,general,Trump,Donald Trump,REP,43
,Suffolk University,USA Today,323,A,1000,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2020/10_29_2020_marginals_pdftxt.pdf?la=en&hash=7BE590FE9C03C3188A29E97C1108D5CB75C70362,general,Hawkins,Howie Hawkins,GRE,1
,Suffolk University,USA Today,323,A,1000,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2020/10_29_2020_marginals_pdftxt.pdf?la=en&hash=7BE590FE9C03C3188A29E97C1108D5CB75C70362,general,Jorgensen,Jo Jorgensen,LIB,1.3
,Suffolk University,USA Today,323,A,1000,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2020/10_29_2020_marginals_pdftxt.pdf?la=en&hash=7BE590FE9C03C3188A29E97C1108D5CB75C70362,general,Biden,Joseph R. Biden Jr.,DEM,51.8
,Suffolk University,USA Today,323,A,1000,Live Phone,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2020/10_29_2020_marginals_pdftxt.pdf?la=en&hash=7BE590FE9C03C3188A29E97C1108D5CB75C70362,general,Trump,Donald Trump,REP,44.3
Maine CD-2,SurveyUSA,FairVote,325,A,509,IVR/Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://bangordailynews.com/2020/10/29/politics/sara-gideon-susan-collins-nearly-tied-in-poll-finding-ranked-choice-voting-helps-democrats/,general,Biden,Joseph R. Biden Jr.,DEM,48
Maine CD-2,SurveyUSA,FairVote,325,A,509,IVR/Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://bangordailynews.com/2020/10/29/politics/sara-gideon-susan-collins-nearly-tied-in-poll-finding-ranked-choice-voting-helps-democrats/,general,Trump,Donald Trump,REP,45
Maine CD-2,SurveyUSA,FairVote,325,A,509,IVR/Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://bangordailynews.com/2020/10/29/politics/sara-gideon-susan-collins-nearly-tied-in-poll-finding-ranked-choice-voting-helps-democrats/,general,Jorgensen,Jo Jorgensen,LIB,2.2
Maine CD-2,SurveyUSA,FairVote,325,A,509,IVR/Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://bangordailynews.com/2020/10/29/politics/sara-gideon-susan-collins-nearly-tied-in-poll-finding-ranked-choice-voting-helps-democrats/,general,Hawkins,Howie Hawkins,GRE,1.6
Maine CD-2,SurveyUSA,FairVote,325,A,509,IVR/Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,,https://bangordailynews.com/2020/10/29/politics/sara-gideon-susan-collins-nearly-tied-in-poll-finding-ranked-choice-voting-helps-democrats/,general,De La Fuente,Roque De La Fuente,OTH,0.7
Maine CD-2,SurveyUSA,FairVote,325,A,509,IVR/Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,allocated after RCV,https://bangordailynews.com/2020/10/29/politics/sara-gideon-susan-collins-nearly-tied-in-poll-finding-ranked-choice-voting-helps-democrats/,general,Biden,Joseph R. Biden Jr.,DEM,51.4
Maine CD-2,SurveyUSA,FairVote,325,A,509,IVR/Online,10/23/20,10/27/20,FALSE,,,FALSE,FALSE,allocated after RCV,https://bangordailynews.com/2020/10/29/politics/sara-gideon-susan-collins-nearly-tied-in-poll-finding-ranked-choice-voting-helps-democrats/,general,Trump,Donald Trump,REP,48.6
